Latitude (average),Longitude (average),"Average theoretical potential (GHI, kWh/m2/day), 
long-term"
12.5,-69.9667,6.1098
33.0,65.0,5.4904
-12.5,18.5,5.7467
41.0,20.0,4.1954
42.5,1.6,4.049
24.0,54.0,6.0454
-34.0,-64.0,5.1243
40.0,45.0,4.2241
-14.3333,-170.0,4.9163
17.05,-61.8,5.7543
-27.0,133.0,5.7587
47.3333,13.3333,3.2138
40.5,47.5,4.0422
-3.5,30.0,5.1899
50.8333,4.0,2.9436
9.5,2.25,5.3253
13.0,-2.0,5.8073
24.0,90.0,4.5955
43.0,25.0,3.8729
26.0,50.55,5.7502
24.25,-76.0,5.3607
44.0,18.0,3.6591
53.0,28.0,2.9377
17.25,-88.75,5.0491
32.3333,-64.75,4.7291
-17.0,-65.0,5.4239
-17.0,-65.0,5.4239
-10.0,-55.0,5.2762
13.1667,-59.5333,5.7734
4.5,114.6667,4.8409
4.5,114.6667,4.8409
27.5,90.5,3.9397
-22.0,24.0,6.0674
7.0,21.0,5.6971
60.0,-95.0,3.2515
47.0,8.0,3.3567
-30.0,-71.0,5.7583
35.0,105.0,4.1265
8.0,-5.0,5.0545
8.0,-5.0,5.0545
6.0,12.0,5.2957
0.0,25.0,5.1879
-1.0,15.0,4.8604
4.0,-72.0,4.867
-12.1667,44.25,5.0535
16.0,-24.0,5.6364
10.0,-84.0,4.8909
21.5,-80.0,5.4139
19.5,-80.5,5.5632
35.0,33.0,5.2104
49.75,15.5,3.0809
51.0,9.0,2.9777
11.5,43.0,6.0575
15.4167,-61.3333,4.9429
56.0,10.0,2.7671
19.0,-70.6667,5.4198
28.0,3.0,5.9225
-2.0,-77.5,4.3049
27.0,30.0,6.2591
15.0,39.0,6.0715
40.0,-4.0,4.5754
59.0,26.0,2.7161
8.0,38.0,5.8501
-18.0,175.0,4.3159
46.0,2.0,3.4825
6.9167,158.25,4.7468
-1.0,11.75,4.5444
54.0,-2.0,2.5918
42.0,43.5,3.7245
8.0,-2.0,5.0959
11.0,-10.0,5.5734
13.4667,-16.5667,5.7477
12.0,-15.0,5.6043
2.0,10.0,4.6
39.0,22.0,4.4501
12.1167,-61.6667,5.4136
15.5,-90.25,5.2525
13.4667,144.7833,5.5734
5.0,-59.0,5.2123
22.25,114.1667,3.905
15.0,-86.5,5.1649
45.1667,15.5,3.737
19.0,-72.4167,5.5361
47.0,20.0,3.5222
-5.0,120.0,4.6245
54.23,-4.55,2.7203
20.0,77.0,5.0978
53.0,-8.0,2.533
32.0,53.0,5.5238
33.0,44.0,5.4649
31.5,34.75,5.7536
42.8333,12.8333,4.0721
18.25,-77.5,5.2107
31.0,36.0,6.0177
36.0,138.0,3.6144
