ISO_A3,"Average theoretical potential (GHI, kWh/m2/day), 
long-term","Average practical potential 
(PVOUT Level 1, 
kWh/kWp/day), long-term"
ABW,6.1098,4.9646
AFG,5.4904,5.0159
AGO,5.7467,4.6586
ALB,4.1954,4.0426
AND,4.049,4.199
ARE,6.0454,5.0043
ARG,5.1243,4.5992
ARM,4.2241,4.1063
ASM,4.9163,3.9826
ATG,5.7543,4.7696
AUS,5.7587,4.7071
AUT,3.2138,3.2571
AZE,4.0422,3.8177
BDI,5.1899,4.1723
BEL,2.9436,2.9164
BEN,5.3253,4.1978
BFA,5.8073,4.5701
BGD,4.5955,3.8806
BGR,3.8729,3.7028
BHR,5.7502,4.8686
BHS,5.3607,4.5481
BIH,3.6591,3.5697
BLR,2.9377,2.9485
BLZ,5.0491,4.1768
BMU,4.7291,4.1838
BOL,5.4239,4.9421
BRA,5.2762,4.4042
BRB,5.7734,4.7151
BRN,4.8409,3.9009
BTN,3.9397,3.9158
BWA,6.0674,5.1069
CAF,5.6971,4.4666
CAN,3.2515,3.8155
CHE,3.3567,3.3639
CHL,5.7583,5.3647
CHN,4.1265,3.8825
CIV,5.0545,3.9999
CMR,5.2957,4.2771
COD,5.1879,4.2556
COG,4.8604,3.7669
COL,4.867,4.0492
COM,5.0535,4.2856
CPV,5.6364,4.6823
CRI,4.8909,4.093
CUB,5.4139,4.5409
CUW,5.9645,4.8332
CYM,5.5632,4.6273
CYP,5.2104,4.6983
CZE,3.0809,3.0481
DEU,2.9777,2.9608
DJI,6.0575,4.7972
DMA,4.9429,3.9702
DNK,2.7671,2.8434
DOM,5.4198,4.5698
DZA,5.9225,4.9167
ECU,4.3049,3.4015
EGY,6.2591,5.2467
ERI,6.0715,4.8948
ESP,4.5754,4.4127
EST,2.7161,2.8369
ETH,5.8501,4.6954
FJI,4.3159,3.8151
FRA,3.4825,3.3861
FSM,4.7468,3.888
GAB,4.5444,3.6024
GBR,2.5918,2.6127
GEO,3.7245,3.7084
GHA,5.0959,4.0203
GIN,5.5734,4.4374
GMB,5.7477,4.569
GNB,5.6043,4.4576
GNQ,4.6,3.6671
GRC,4.4501,4.143
GRD,5.4136,4.4519
GTM,5.2525,4.3855
GUM,5.5734,4.532
GUY,5.2123,4.1959
HKG,3.905,3.2718
HND,5.1649,4.2629
HRV,3.737,3.6306
HTI,5.5361,4.6766
HUN,3.5222,3.4402
