ISO_A3,Country,Latitude (average),Longitude (average),"Average theoretical potential (GHI, kWh/m2/day), 
long-term","Average practical potential 
(PVOUT Level 1, 
kWh/kWp/day), long-term"
ABW,Aruba,12.5,-69.9667,6.1098,4.9646
AFG,Afghanistan,33.0,65.0,5.4904,5.0159
AGO,Angola,-12.5,18.5,5.7467,4.6586
ALB,Albania,41.0,20.0,4.1954,4.0426
AND,Andorra,42.5,1.6,4.049,4.199
ARE,United Arab Emirates,24.0,54.0,6.0454,5.0043
ARG,Argentina,-34.0,-64.0,5.1243,4.5992
ARM,Armenia,40.0,45.0,4.2241,4.1063
ASM,American Samoa,-14.3333,-170.0,4.9163,3.9826
ATG,Antigua and Barbuda,17.05,-61.8,5.7543,4.7696
AUS,Australia,-27.0,133.0,5.7587,4.7071
AUT,Austria,47.3333,13.3333,3.2138,3.2571
AZE,Azerbaijan,40.5,47.5,4.0422,3.8177
BDI,Burundi,-3.5,30.0,5.1899,4.1723
BEL,Belgium,50.8333,4.0,2.9436,2.9164
BEN,Benin,9.5,2.25,5.3253,4.1978
BFA,Burkina Faso,13.0,-2.0,5.8073,4.5701
BGD,Bangladesh,24.0,90.0,4.5955,3.8806
BGR,Bulgaria,43.0,25.0,3.8729,3.7028
BHR,Bahrain,26.0,50.55,5.7502,4.8686
BHS,Bahamas,24.25,-76.0,5.3607,4.5481
BIH,Bosnia and Herzegovina,44.0,18.0,3.6591,3.5697
BLR,Belarus,53.0,28.0,2.9377,2.9485
BLZ,Belize,17.25,-88.75,5.0491,4.1768
BMU,Bermuda,32.3333,-64.75,4.7291,4.1838
BOL,"Bolivia, Plurinational State of",-17.0,-65.0,5.4239,4.9421
BOL,Bolivia,-17.0,-65.0,5.4239,4.9421
BRA,Brazil,-10.0,-55.0,5.2762,4.4042
BRB,Barbados,13.1667,-59.5333,5.7734,4.7151
BRN,Brunei Darussalam,4.5,114.6667,4.8409,3.9009
BRN,Brunei,4.5,114.6667,4.8409,3.9009
BTN,Bhutan,27.5,90.5,3.9397,3.9158
BWA,Botswana,-22.0,24.0,6.0674,5.1069
CAF,Central African Republic,7.0,21.0,5.6971,4.4666
CAN,Canada,60.0,-95.0,3.2515,3.8155
CHE,Switzerland,47.0,8.0,3.3567,3.3639
CHL,Chile,-30.0,-71.0,5.7583,5.3647
CHN,China,35.0,105.0,4.1265,3.8825
CIV,Côte d'Ivoire,8.0,-5.0,5.0545,3.9999
CIV,Ivory Coast,8.0,-5.0,5.0545,3.9999
CMR,Cameroon,6.0,12.0,5.2957,4.2771
COD,"Congo, the Democratic Republic of the",0.0,25.0,5.1879,4.2556
COG,Congo,-1.0,15.0,4.8604,3.7669
COL,Colombia,4.0,-72.0,4.867,4.0492
COM,Comoros,-12.1667,44.25,5.0535,4.2856
CPV,Cape Verde,16.0,-24.0,5.6364,4.6823
CRI,Costa Rica,10.0,-84.0,4.8909,4.093
CUB,Cuba,21.5,-80.0,5.4139,4.5409
CYM,Cayman Islands,19.5,-80.5,5.5632,4.6273
CYP,Cyprus,35.0,33.0,5.2104,4.6983
CZE,Czech Republic,49.75,15.5,3.0809,3.0481
DEU,Germany,51.0,9.0,2.9777,2.9608
DJI,Djibouti,11.5,43.0,6.0575,4.7972
DMA,Dominica,15.4167,-61.3333,4.9429,3.9702
DNK,Denmark,56.0,10.0,2.7671,2.8434
DOM,Dominican Republic,19.0,-70.6667,5.4198,4.5698
DZA,Algeria,28.0,3.0,5.9225,4.9167
ECU,Ecuador,-2.0,-77.5,4.3049,3.4015
EGY,Egypt,27.0,30.0,6.2591,5.2467
ERI,Eritrea,15.0,39.0,6.0715,4.8948
ESP,Spain,40.0,-4.0,4.5754,4.4127
EST,Estonia,59.0,26.0,2.7161,2.8369
ETH,Ethiopia,8.0,38.0,5.8501,4.6954
FJI,Fiji,-18.0,175.0,4.3159,3.8151
FRA,France,46.0,2.0,3.4825,3.3861
FSM,"Micronesia, Federated States of",6.9167,158.25,4.7468,3.888
GAB,Gabon,-1.0,11.75,4.5444,3.6024
GBR,United Kingdom,54.0,-2.0,2.5918,2.6127
GEO,Georgia,42.0,43.5,3.7245,3.7084
GHA,Ghana,8.0,-2.0,5.0959,4.0203
GIN,Guinea,11.0,-10.0,5.5734,4.4374
GMB,Gambia,13.4667,-16.5667,5.7477,4.569
GNB,Guinea-Bissau,12.0,-15.0,5.6043,4.4576
GNQ,Equatorial Guinea,2.0,10.0,4.6,3.6671
GRC,Greece,39.0,22.0,4.4501,4.143
GRD,Grenada,12.1167,-61.6667,5.4136,4.4519
GTM,Guatemala,15.5,-90.25,5.2525,4.3855
GUM,Guam,13.4667,144.7833,5.5734,4.532
GUY,Guyana,5.0,-59.0,5.2123,4.1959
HKG,Hong Kong,22.25,114.1667,3.905,3.2718
HND,Honduras,15.0,-86.5,5.1649,4.2629
HRV,Croatia,45.1667,15.5,3.737,3.6306
HTI,Haiti,19.0,-72.4167,5.5361,4.6766
HUN,Hungary,47.0,20.0,3.5222,3.4402
IDN,Indonesia,-5.0,120.0,4.6245,3.7674
IMN,Isle of Man,54.23,-4.55,2.7203,2.7637
IND,India,20.0,77.0,5.0978,4.322
IRL,Ireland,53.0,-8.0,2.533,2.5126
IRN,"Iran, Islamic Republic of",32.0,53.0,5.5238,4.9159
IRQ,Iraq,33.0,44.0,5.4649,4.6783
ISR,Israel,31.5,34.75,5.7536,5.0763
ITA,Italy,42.8333,12.8333,4.0721,3.9933
JAM,Jamaica,18.25,-77.5,5.2107,4.3858
JOR,Jordan,31.0,36.0,6.0177,5.315
JPN,Japan,36.0,138.0,3.6144,3.4456
KAZ,Kazakhstan,48.0,68.0,3.8227,3.685
KEN,Kenya,1.0,38.0,5.78,4.5042
KGZ,Kyrgyzstan,41.0,75.0,4.114,4.1149
KHM,Cambodia,13.0,105.0,5.0913,4.125
KIR,Kiribati,1.4167,173.0,6.1258,4.8231
KNA,Saint Kitts and Nevis,17.3333,-62.75,5.5789,4.6456
KOR,"Korea, Republic of",37.0,127.5,3.9865,3.8163
KOR,South Korea,37.0,127.5,3.9865,3.8163
KWT,Kuwait,29.3375,47.6581,5.6764,4.8155
LAO,Lao People's Democratic Republic,18.0,105.0,4.4847,3.8709
LBN,Lebanon,33.8333,35.8333,5.3556,4.8315
LBR,Liberia,6.5,-9.5,4.8758,3.8833
LBY,Libyan Arab Jamahiriya,25.0,17.0,6.1345,5.1243
LBY,Libya,25.0,17.0,6.1345,5.1243
LCA,Saint Lucia,13.8833,-61.1333,5.3959,4.5225
LIE,Liechtenstein,47.1667,9.5333,3.1691,3.2454
LKA,Sri Lanka,7.0,81.0,5.277,4.2118
LSO,Lesotho,-29.5,28.5,5.5414,5.1349
LTU,Lithuania,56.0,24.0,2.8246,2.8704
LUX,Luxembourg,49.75,6.1667,3.0173,2.9478
LVA,Latvia,57.0,25.0,2.7733,2.8531
MAC,Macao,22.1667,113.55,4.0875,3.4041
MAR,Morocco,32.0,-5.0,5.5632,5.0065
MDA,"Moldova, Republic of",47.0,29.0,3.5516,3.4493
MDG,Madagascar,-20.0,47.0,5.6252,4.7579
MDV,Maldives,3.25,73.0,5.5933,4.4418
MEX,Mexico,23.0,-102.0,5.7277,4.9241
MHL,Marshall Islands,9.0,168.0,5.3744,4.2382
MKD,"Macedonia, the former Yugoslav Republic of",41.8333,22.0,4.0494,3.8814
MLI,Mali,17.0,-4.0,6.0178,4.6763
MLT,Malta,35.8333,14.5833,5.0071,4.5618
MMR,Myanmar,22.0,98.0,4.6943,4.1414
MMR,Burma,22.0,98.0,4.6943,4.1414
MNE,Montenegro,42.0,19.0,3.8614,3.8174
MNG,Mongolia,46.0,105.0,4.3193,4.7573
MNP,Northern Mariana Islands,15.2,145.75,5.5614,4.6546
MOZ,Mozambique,-18.25,35.0,5.3819,4.435
MRT,Mauritania,20.0,-12.0,6.0378,4.7491
MUS,Mauritius,-20.2833,57.55,5.0132,4.2148
MWI,Malawi,-13.5,34.0,5.5937,4.6006
MYS,Malaysia,2.5,112.5,4.706,3.7399
NAM,Namibia,-22.0,17.0,6.4047,5.3791
NCL,New Caledonia,-21.5,165.5,4.5737,3.9764
NER,Niger,16.0,8.0,6.2647,4.837
NGA,Nigeria,10.0,8.0,5.4364,4.2977
NIC,Nicaragua,13.0,-85.0,5.0415,4.1085
NLD,Netherlands,52.5,5.75,2.8649,2.8647
NOR,Norway,62.0,10.0,2.5833,2.7612
NPL,Nepal,28.0,84.0,4.5344,3.996
NRU,Nauru,-0.5333,166.9167,5.8795,4.651
NZL,New Zealand,-41.0,174.0,3.5396,3.6774
OMN,Oman,21.0,57.0,6.2779,5.1683
PAK,Pakistan,30.0,70.0,5.3411,4.7126
PAN,Panama,9.0,-80.0,4.7445,3.9655
PER,Peru,-10.0,-76.0,5.1463,4.901
PHL,Philippines,13.0,122.0,4.7316,3.9324
PLW,Palau,7.5,134.5,4.9776,4.005
PNG,Papua New Guinea,-6.0,147.0,4.4832,3.6919
POL,Poland,52.0,20.0,2.977,2.9844
PRI,Puerto Rico,18.25,-66.5,5.2681,4.3964
PRK,"Korea, Democratic People's Republic of",40.0,127.0,3.8578,3.9158
